Name,Party,State,Vote
Adams,Democratic,North Carolina,NAY
Aderholt,Republican,Alabama,YEA
Aguilar,Democratic,California,NAY
Allen,Republican,Georgia,YEA
Allred,Democratic,Texas,NAY
Amodei,Republican,Nevada,NAY
Armstrong,Republican,North Dakota,NAY
Arrington,Republican,Texas,YEA
Auchincloss,Democratic,Massachusetts,NAY
Axne,Democratic,Iowa,NAY
Babin,Republican,Texas,YEA
Bacon,Republican,Nebraska,NAY
Baird,Republican,Indiana,YEA
Balderson,Republican,Ohio,NAY
Banks,Republican,Indiana,YEA
Barr,Republican,Kentucky,NAY
Barragán,Democratic,California,NAY
Bass,Democratic,California,NAY
Beatty,Democratic,Ohio,NAY
Bentz,Republican,Oregon,NAY
Bera,Democratic,California,NAY
Bergman,Republican,Michigan,YEA
Beyer,Democratic,Virginia,NAY
Bice (OK),Republican,Oklahoma,YEA
Biggs,Republican,Arizona,YEA
Bilirakis,Republican,Florida,NOT VOTING
Bishop (GA),Democratic,Georgia,NAY
Bishop (NC),Republican,North Carolina,YEA
Blumenauer,Democratic,Oregon,NAY
Blunt Rochester,Democratic,Delaware,NAY
Boebert,Republican,Colorado,YEA
Bonamici,Democratic,Oregon,NAY
Bost,Republican,Illinois,YEA
Bourdeaux,Democratic,Georgia,NAY
Bowman,Democratic,New York,NAY
"Boyle, Brendan F.",Democratic,Pennsylvania,NAY
Brady,Republican,Texas,NOT VOTING
Brooks,Republican,Alabama,YEA
Brown,Democratic,Maryland,NAY
Brownley,Democratic,California,NAY
Buchanan,Republican,Florida,NAY
Buck,Republican,Colorado,NAY
Bucshon,Republican,Indiana,NAY
Budd,Republican,North Carolina,YEA
Burchett,Republican,Tennessee,YEA
Burgess,Republican,Texas,YEA
Bush,Democratic,Missouri,NAY
Bustos,Democratic,Illinois,NAY
Butterfield,Democratic,North Carolina,NAY
Calvert,Republican,California,YEA
Cammack,Republican,Florida,YEA
Carbajal,Democratic,California,NAY
Cárdenas,Democratic,California,NAY
Carl,Republican,Alabama,YEA
Carson,Democratic,Indiana,NAY
Carter (GA),Republican,Georgia,YEA
Carter (TX),Republican,Texas,YEA
Cartwright,Democratic,Pennsylvania,NAY
Case,Democratic,Hawaii,NAY
Casten,Democratic,Illinois,NAY
Castor (FL),Democratic,Florida,NAY
Castro (TX),Democratic,Texas,NAY
Cawthorn,Republican,North Carolina,YEA
Chabot,Republican,Ohio,NAY
Cheney,Republican,Wyoming,NAY
Chu,Democratic,California,NAY
Cicilline,Democratic,Rhode Island,NAY
Clark (MA),Democratic,Massachusetts,NAY
Clarke (NY),Democratic,New York,NAY
Cleaver,Democratic,Missouri,NAY
Cline,Republican,Virginia,YEA
Cloud,Republican,Texas,YEA
Clyburn,Democratic,South Carolina,NAY
Clyde,Republican,Georgia,YEA
Cohen,Democratic,Tennessee,NAY
Cole,Republican,Oklahoma,YEA
Comer,Republican,Kentucky,NAY
Connolly,Democratic,Virginia,NAY
Cooper,Democratic,Tennessee,NAY
Correa,Democratic,California,NAY
Costa,Democratic,California,NAY
Courtney,Democratic,Connecticut,NAY
Craig,Democratic,Minnesota,NAY
Crawford,Republican,Arkansas,YEA
Crenshaw,Republican,Texas,NAY
Crist,Democratic,Florida,NAY
Crow,Democratic,Colorado,NAY
Cuellar,Democratic,Texas,NAY
Curtis,Republican,Utah,NAY
Davids (KS),Democratic,Kansas,NAY
Davidson,Republican,Ohio,YEA
"Davis, Danny K.",Democratic,Illinois,NAY
"Davis, Rodney",Republican,Illinois,NAY
Dean,Democratic,Pennsylvania,NAY
DeFazio,Democratic,Oregon,NAY
DeGette,Democratic,Colorado,NAY
DeLauro,Democratic,Connecticut,NAY
DelBene,Democratic,Washington,NAY
Delgado,Democratic,New York,NAY
Demings,Democratic,Florida,NAY
DeSaulnier,Democratic,California,NAY
DesJarlais,Republican,Tennessee,YEA
Deutch,Democratic,Florida,NAY
Diaz-Balart,Republican,Florida,YEA
Dingell,Democratic,Michigan,NAY
Doggett,Democratic,Texas,NAY
Donalds,Republican,Florida,YEA
"Doyle, Michael F.",Democratic,Pennsylvania,NAY
Duncan,Republican,South Carolina,YEA
Dunn,Republican,Florida,YEA
Emmer,Republican,Minnesota,NAY
Escobar,Democratic,Texas,NAY
Eshoo,Democratic,California,NAY
Espaillat,Democratic,New York,NAY
Estes,Republican,Kansas,YEA
Evans,Democratic,Pennsylvania,NAY
Fallon,Republican,Texas,YEA
Feenstra,Republican,Iowa,NAY
Ferguson,Republican,Georgia,NAY
Fischbach,Republican,Minnesota,YEA
Fitzgerald,Republican,Wisconsin,YEA
Fitzpatrick,Republican,Pennsylvania,NAY
Fleischmann,Republican,Tennessee,YEA
Fletcher,Democratic,Texas,NAY
Fortenberry,Republican,Nebraska,NAY
Foster,Democratic,Illinois,NAY
Foxx,Republican,North Carolina,NAY
"Frankel, Lois",Democratic,Florida,NAY
"Franklin, C. Scott",Republican,Florida,YEA
Fudge,Democratic,Ohio,NAY
Fulcher,Republican,Idaho,YEA
Gaetz,Republican,Florida,YEA
Gallagher,Republican,Wisconsin,NAY
Gallego,Democratic,Arizona,NAY
Garamendi,Democratic,California,NAY
Garbarino,Republican,New York,NAY
Garcia (CA),Republican,California,YEA
García (IL),Democratic,Illinois,NAY
Garcia (TX),Democratic,Texas,NAY
Gibbs,Republican,Ohio,YEA
Gimenez,Republican,Florida,YEA
