Name,Party,State,Vote
Baldwin,D,WI, Nay
Barrasso,R,WY, Nay
Bennet,D,CO, Nay
Blackburn,R,TN, Nay
Blumenthal,D,CT, Nay
Blunt,R,MO, Nay
Booker,D,NJ, Nay
Boozman,R,AR, Nay
Braun,R,IN, Nay
Brown,D,OH, Nay
Burr,R,NC, Nay
Cantwell,D,WA, Nay
Capito,R,WV, Nay
Cardin,D,MD, Nay
Carper,D,DE, Nay
Casey,D,PA, Nay
Cassidy,R,LA, Nay
Collins,R,ME, Nay
Coons,D,DE, Nay
Cornyn,R,TX, Nay
Cortez Masto,D,NV, Nay
Cotton,R,AR, Nay
Cramer,R,ND, Nay
Crapo,R,ID, Nay
Cruz,R,TX, Yea
Daines,R,MT, Nay
Duckworth,D,IL, Nay
Durbin,D,IL, Nay
Ernst,R,IA, Nay
Feinstein,D,CA, Nay
Fischer,R,NE, Nay
Gillibrand,D,NY, Nay
Graham,R,SC, Nay
Grassley,R,IA, Nay
Hagerty,R,TN, Nay
Harris,D,CA, Nay
Hassan,D,NH, Nay
Hawley,R,MO, Yea
Heinrich,D,NM, Nay
Hickenlooper,D,CO, Nay
Hirono,D,HI, Nay
Hoeven,R,ND, Nay
Hyde-Smith,R,MS, Yea
Inhofe,R,OK, Nay
Johnson,R,WI, Nay
Kaine,D,VA, Nay
Kelly,D,AZ, Nay
Kennedy,R,LA, Nay
King,I,ME, Nay
Klobuchar,D,MN, Nay
Lankford,R,OK, Nay
Leahy,D,VT, Nay
Lee,R,UT, Nay
Loeffler,R,GA, Nay
Lujan,D,NM, Nay
Lummis,R,WY, Yea
Manchin,D,WV, Nay
Markey,D,MA, Nay
Marshall,R,KS, Yea
McConnell,R,KY, Nay
Menendez,D,NJ, Nay
Merkley,D,OR, Nay
Moran,R,KS, Nay
Murkowski,R,AK, Nay
Murphy,D,CT, Nay
Murray,D,WA, Nay
Paul,R,KY, Nay
Peters,D,MI, Nay
Portman,R,OH, Nay
Reed,D,RI, Nay
Risch,R,ID, Nay
Romney,R,UT, Nay
Rosen,D,NV, Nay
Rounds,R,SD, Nay
Rubio,R,FL, Nay
Sanders,I,VT, Nay
Sasse,R,NE, Nay
Schatz,D,HI, Nay
Schumer,D,NY, Nay
Rick Scott,R,FL, Yea
Scott,R,SC, Nay
Shaheen,D,NH, Nay
Shelby,R,AL, Nay
Sinema,D,AZ, Nay
Smith,D,MN, Nay
Stabenow,D,MI, Nay
Sullivan,R,AK, Nay
Tester,D,MT, Nay
Thune,R,SD, Nay
Tillis,R,NC, Nay
Toomey,R,PA, Nay
Tuberville,R,AL, Yea
Van Hollen,D,MD, Nay
Warner,D,VA, Nay
Warren,D,MA, Nay
Whitehouse,D,RI, Nay
Wicker,R,MS, Nay
Wyden,D,OR, Nay
Young,R,IN, Nay
